set,row_id,text,gold_topic,gold_sentiment,gold_entities,conversation_id
reference_set1,1,"@424332 [NAME], I Believe We've Got All We Need",account management,neutral,"[{""type"": ""PER"", ""text"": ""Jo""}]",36a022de82791c2f1d5a4153eb656de2
reference_set1,2,"Waited a year [NAME], any luck on finding your finest Yule log?",product question,neutral,"[{""type"": ""PER"", ""text"": ""Ryan""}, {""type"": ""MISC"", ""text"": ""Yule log""}]",f177a66c479bc29b1ed648ebef890585
reference_set1,3,"@266264 @266265 She’s a ‘kipper with an agenda, doubt she’s really bothered about the animal treatment probably just a anti Muslim rant......",complaint,negative,"[{""type"": ""MISC"", ""text"": ""Muslim""}]",3ec823c95c72550de76e1d73758a68c9
reference_set1,4,disappoint from u Amazon😞😞u have to shre the trainofcard contest point we have to see our collected point &amp; winners point cheater,complaint,negative,"[{""type"": ""ORG"", ""text"": ""Amazon""}]",4a5ad6afc0d88cf713ced18a80d11490
reference_set1,5,We have called and advised. ^IN,complaint,neutral,[],c66b42fcd7e375b493d04b7df19b06ff
reference_set1,6,@AppleSupport Yes all fine now thanks,praise and positive feedback,positive,"[{""type"": ""ORG"", ""text"": ""AppleSupport""}]",495e668584f6749fb3c3cb34d0b6d3a5
reference_set1,7,"Any chance you could take a look at order # [ID]? ""Refunded to gift card"" but how/where do I access said gift card? I kinda gave up as feels like pulling teeth shopping online with you but wife wants her £12!",billing and payments,negative,[],aeebe26705ad0c1590cf0181d62a18cb
reference_set1,8,New bike lane? Extended garage for working on cars!! From yesterday. [URL],product question,neutral,[],5bd7dc5048bdce0e5d6b6c6f3667721a
reference_set1,9,We weren't planning on it but ended up visiting sooner than we thought: we spent a week at Van Zandt in [LOCATION] after Harvey. Another gem!,praise and positive feedback,positive,"[{""type"": ""ORG"", ""text"": ""Van Zandt""}, {""type"": ""LOC"", ""text"": ""Austin""}, {""type"": ""MISC"", ""text"": ""Harvey""}]",80c10995c51d1570fe5bbb957eaaa3b3
reference_set1,10,"You win for the worst travel experience.  Ever.  Thanks a million, @JetBlue for rescuing us. #forcedovernightstay",complaint,negative,"[{""type"": ""ORG"", ""text"": ""JetBlue""}]",9fbcbdbeac5ef6910d0c419803bf7c33
reference_set1,11,We don't have a date for those tickets yet I'm afraid. ^PA,product question,neutral,[],a6a7fc7f36c1afe744d0bdd2a2c17efd
reference_set1,12,"@Delta Hi, @AskLyft, @Delta--Still looking for help with this.  Have you all abandoned this like you did [NAME] [DATE]?",complaint,negative,"[{""type"": ""ORG"", ""text"": ""Delta""}, {""type"": ""ORG"", ""text"": ""AskLyft""}, {""type"": ""ORG"", ""text"": ""Delta""}, {""type"": ""PER"", ""text"": ""Kline""}]",b8ee7af97ec918e5355be59ceaa54eb2
reference_set1,13,yes I do I'm assuming I'll try to load it.,technical issue,neutral,[],c6ffead56cd91a8312b61602d73a66fa
reference_set1,14,"These guys were back this year minus the Sainsbury's bag, I tried using MY nectar card to lure them on the dancefloor. Didn't work",product question,neutral,"[{""type"": ""ORG"", ""text"": ""Sainsbury""}, {""type"": ""MISC"", ""text"": ""nectar""}]",c8f1c3e2d50f170ef529ef47f0cf9135
reference_set1,15,"Hmm, That is a protect content error code. 🤔  Let's check for Flash updates: [URL] Notice an improvement?",technical issue,neutral,"[{""type"": ""MISC"", ""text"": ""Flash""}]",1395ec884cff5da4464666d01e621776
reference_set1,16,thank you for sending me this FGW lanyard. #firsttrainlanyard [URL],praise and positive feedback,positive,"[{""type"": ""ORG"", ""text"": ""FGW""}]",ba864753a45f620c697c889f875ac173
reference_set1,17,2: You might also want to try using an incognito window. Let us know how it goes /MQ,technical issue,neutral,[],f676de9c77d626e1556d18b7f970cdce
reference_set1,18,"I'm sry to hear u have not received these statements. I have re-escalated ur concern to our partners in [LOCATION] &amp; requested that they reach out to u as soon as possible, However it may take up to two business days to receive a call. I hope this information helps. ^EK",account management,neutral,"[{""type"": ""LOC"", ""text"": ""India""}]",375a96bb771a3e563965d24ab4e91766
reference_set1,19,"Hello @244290 kindly dial *786*10# to activate the Night Call bundle, which costs N100, valid for 5days. Thank you.",product question,neutral,"[{""type"": ""MISC"", ""text"": ""Night Call bundle""}]",fd9bfd92c906e68951e7b21553c4f817
reference_set1,20,with reference to my earlier tweet I haven't received any conversation from ur side @115821 I have already drop my details,complaint,negative,[],94e8de43075d2ff18bcfd689d725a8c3
reference_set1,21,"Anyone on here had problems adding a payment card to @115873, Select [LOCATION] put in postcode and it won't continue as invalid Zip Code ?",billing and payments,negative,"[{""type"": ""LOC"", ""text"": ""UK""}]",debb9ad715eae6d7b326b8ab256a8bb1
reference_set1,22,So; the operator questioned why I was having a 16 year old as an unaccompanied minor... wow; and rather rudely.,complaint,negative,[],1e0a88d5ae759252f698ee169a29777f
reference_set1,23,"Okay, I would advise marking these as Spam. ^JH",technical issue,neutral,[],54a5d819d84e86338cced6a5485fe12e
reference_set1,24,We think our AAdvantage program is top notch; however we do value your feedback. We hope to see you in the air soon.,complaint,positive,"[{""type"": ""MISC"", ""text"": ""AAdvantage""}]",b073f45c5fb59b47d338e0aa25dc2a1f
reference_set1,25,T-mobile had 2 promotions which I Renewed my contact.. Both were dishonored. Shame on T-Mobile,billing and payments,negative,"[{""type"": ""ORG"", ""text"": ""T-mobile""}, {""type"": ""ORG"", ""text"": ""T-Mobile""}]",a606e6b2ed889f0172e80982c04dc4e1
reference_set1,26,Why can't I delete my card from my account?,account management,negative,[],1977ab8c9f9473d8594671be4ddf9e7f
