id,created_at,anonymized_text,topic,topic_score,sentiment,sentiment_score,conversation_id,source,engine,provider,model,latency_ms,cost_usd,entities
600,2026-09-22T09:42:07+00:00,Sure. I have forwarded the details to the appropriate team to take immediate action on this. ^NK,complaint,0.3097,Neutral,0.9894,82bafae754cf870e07ca1371cc5c60fb,ingest,local,,,,,
599,2026-09-22T09:42:07+00:00,Any updates? VT-[PHONE],product question,0.3887,Neutral,0.9823,65698ca0f6ff017c5b6432d86fec4a29,ingest,local,,,,,
598,2026-09-22T09:42:07+00:00,"Hi, am still unable to login. Showing Bad Request. How long it will take.",complaint,0.7687,Negative,0.8982,1eee52e275ee2cf891408c9293d80f58,ingest,local,,,,,
597,2026-09-22T09:42:07+00:00,what's your website,product question,0.3644,Neutral,0.9964,e40740899312ca74ce413defbf751513,ingest,local,,,,,
596,2026-09-22T09:42:07+00:00,Almost calls 📞 are dropped  what an idea sir [NAME]???,cancellation,0.704,Negative,0.9762,196d1969f49b3d960cb7b916b969a581,ingest,local,,,,,
595,2026-09-22T09:42:07+00:00,@[REDACTED] @hulu_support @47977 Who was the genius behind the update? Can I please go back to the old interface?,complaint,0.7242,Negative,0.9939,1793f3e1018256235296efcebc8de7a1,ingest,local,,,,,
594,2026-09-22T09:42:07+00:00,- hi there - is there any way of booking multiple rooms? I fear we might not get the second if I just try and repeat in app?,product question,0.3183,Neutral,0.9979,76bd0288bca1f147d499c60b480d95fb,ingest,local,,,,,
593,2026-09-22T09:42:07+00:00,@[REDACTED] 357th day requesting any kind of response,complaint,0.8246,Neutral,0.9931,ab0f4b2ad58e75b56cea141b4fa180ee,ingest,local,,,,,
592,2026-09-22T09:42:07+00:00,Hi [NAME]! Can you send us the Song Link? Just tap the three dots &gt; [REDACTED]; [NAME]. We'll check it out [ID],praise and positive feedback,0.4411,Neutral,0.9957,5172b418ce2815884206af3e9b549942,ingest,local,,,,,PER:Mike; MISC:Link; MISC:Link
591,2026-09-22T09:42:07+00:00,"terrible service, they took my money for a already booked room and won't give it back never booking @[REDACTED] again!!!",complaint,0.7236,Negative,0.992,29ec007d17dd4ba8bd4c74f755f2fa79,ingest,local,,,,,
590,2026-09-22T09:42:07+00:00,"Hi again [REDACTED] dazu haben, [REDACTED] [NAME] an. [NAME]. ^AS",praise and positive feedback,0.7505,Neutral,0.9956,88a57f0dfbd25b8cbed87692c9d7db5f,ingest,local,,,,,PER:So; ORG:News; MISC:Me; PER:G; LOC:##ed; ORG:AS
589,2026-09-22T09:42:06+00:00,"It's cancelled now, but I am very unhappy with the agent. Scaring me into waiting because I'll ""pay a fee"" (but it's more expensive to wait)",cancellation,0.6798,Negative,0.9882,2c74f2615a66c89eeba0cadeacd7fc30,ingest,local,,,,,
588,2026-09-22T09:42:06+00:00,@[REDACTED] @[REDACTED] So I have a generator to send and weights 157lbs only 7 LBS over your limit can I send so I can help my people in [LOCATION] #PRinhelp,product question,0.3038,Positive,0.9916,332ac827f6ac9413d4bcbfa7ecff81ce,ingest,local,,,,,LOC:Puerto Rico
587,2026-09-22T09:42:06+00:00,@[REDACTED] Devious ways of #paypal. When agents have been instructed to not to help customers. See snapshots. [URL],complaint,0.4569,Negative,0.9973,d5d630c2829ce9186f2b0ab16cc287e5,ingest,local,,,,,
586,2026-09-22T09:42:06+00:00,Hello Do you know you can stop your screen from rotating by simply tapping the rotation lock in the notification shade? Thank you for (1/2),praise and positive feedback,0.8603,Positive,0.9933,78663becd33a45880a7cc41df9e06fb2,ingest,local,,,,,
585,2026-09-22T09:42:06+00:00,The movie will be billed and then credited to the account. [ID],billing and payments,0.8221,Neutral,0.9986,b155b13b509158fd9ac5d689e2fda548,ingest,local,,,,,
584,2026-09-22T09:42:06+00:00,[NAME] since when,complaint,0.8011,Neutral,0.9868,5a95221d2285261148633c010140bbca,ingest,local,,,,,
583,2026-09-22T09:42:06+00:00,[REDACTED]? ^DW,complaint,0.4207,Neutral,0.9965,067c02915946b4cbf4f04685256b7d99,ingest,local,,,,,PER:K
582,2026-09-22T09:42:06+00:00,@[REDACTED] @TMobileHelp @[REDACTED] @[REDACTED] sure...if I can. Data is barely working.,technical issue,0.4782,Neutral,0.9413,763d933a1062ae1f88c62d2a51e53f8a,ingest,local,,,,,ORG:##H
581,2026-09-22T09:42:06+00:00,@[REDACTED] talking to paypal not you. just commenting to show that your experience with [NAME] isn't universal,complaint,0.3956,Negative,0.9519,b6d6fe09b0ef8553b704846d36067953,ingest,local,,,,,PER:Drew
580,2026-09-22T09:42:06+00:00,I've been on hold for [DATE] on the skymiles 800 number line. I am now remebering why i quit flying @delta [DATE]!,complaint,0.4402,Neutral,0.9979,15ee2aa818c2ea52d913ddd5b2e76656,ingest,local,,,,,
579,2026-09-22T09:42:06+00:00,I left a message for you [DATE] with additional information. Please let me know if you need anything further. [NAME],praise and positive feedback,0.2234,Neutral,0.996,9270ed65887df039e9270acf3e6d083a,ingest,local,,,,,
578,2026-09-22T09:42:06+00:00,I haven't - I've been having problems doing it on the web player,technical issue,0.632,Neutral,0.9987,22821db6992f5a70889b9da12ffdf442,ingest,local,,,,,
577,2026-09-22T09:42:06+00:00,"Great question, [NAME]! DM us so we can talk more about your options! *MelindaR",praise and positive feedback,0.6189,Neutral,0.9862,bc9978608a3a54afc7d5fd7e16384abf,ingest,local,,,,,PER:Jo
576,2026-09-22T09:42:06+00:00,Still waiting for an explanation as to why my account was closed!,cancellation,0.4241,Negative,0.9083,b4db52dd058995c52df08621aa13a24c,ingest,local,,,,,
575,2026-09-22T09:42:06+00:00,[LOCATION] Uninstalled [DATE]. Disabling all Lyft notifications to turn off intrusive ads (including pickup status) throws the baby out with the bathwater. This is a dealbreaker. [REDACTED]. (android),complaint,0.3835,Negative,0.9942,50ff7be5872d182e03e77163bcb0c008,ingest,local,,,,,ORG:Lyft; ORG:Lyft
574,2026-09-22T09:42:06+00:00,A digital wallet is a third-party payment application that allows clients to make purchases without their physical card.^kb,product question,0.28,Positive,0.9941,104b41048e76c1a5e39c65f789d0eb6e,ingest,local,,,,,
573,2026-09-22T09:42:06+00:00,"Hi [NAME], we're following you now if you need to DM us. Let us know more about your query. ^L",praise and positive feedback,0.3865,Neutral,0.568,3472f547dc97e35edb959247e505024b,ingest,local,,,,,PER:Natasha
572,2026-09-22T09:42:06+00:00,they don't tell you about the surge cost though I paid £18.67 to travel 3 miles !! #ripoff,complaint,0.6971,Neutral,0.6584,1977ab8c9f9473d8594671be4ddf9e7f,ingest,local,,,,,
571,2026-09-22T09:42:06+00:00,"@[REDACTED] Hi [NAME], are you booking via our website or @[REDACTED] ? ^HP",praise and positive feedback,0.2542,Neutral,0.9976,1cfa8bf98efd1b1e847f7f2b9066ba2e,ingest,local,,,,,PER:Rua
570,2026-09-22T09:42:06+00:00,Sorry to hear that. Could you send us a direct message to collect a few information and help you with that? -Dinesh,complaint,0.4546,Neutral,0.9955,9f02665bd00a829b113f8e8bc603214c,ingest,local,,,,,PER:Din; PER:##esh
569,2026-09-22T09:42:06+00:00,"@[REDACTED] lack of transmitter network in [LOCATION] ,[LOCATION] ,[NAME]  division [ID]  location ...",complaint,0.4978,Negative,0.9678,c01fa360a5e6eec712b6a43b7eff1722,ingest,local,,,,,LOC:p; LOC:##t County; LOC:##gu
568,2026-09-22T09:42:06+00:00,"Hello @[REDACTED], apologies on your experience. Kindly provide your mobile number via DM for checks and assistance. Thank you. ^CIA",complaint,0.7174,Neutral,0.8417,958e7f3a416ae24143984bd04d375dad,ingest,local,,,,,ORG:DM; ORG:CIA
567,2026-09-22T09:42:06+00:00,"@[REDACTED] How come they are no points given on my new purchase of flight , i only see points frm previous balance, isnt it auto update, Pls advise, TQ",complaint,0.6877,Negative,0.7989,6f3a5fd1f3b99e05b0ce702605e6b406,ingest,local,,,,,
566,2026-09-22T09:42:06+00:00,"[NAME],  let us know if you still need help. Please provide the previously requested info only. Kind Regards, ^SJ [URL]",praise and positive feedback,0.3372,Neutral,0.9965,f6ebea9c4dba67d93d15a0d3d1252482,ingest,local,,,,,PER:Em
565,2026-09-22T09:42:06+00:00,Can I know how to claim back the Big Points?,product question,0.2411,Neutral,0.9969,181c756856bd4afd04834579403f2449,ingest,local,,,,,MISC:Big Points
564,2026-09-22T09:42:06+00:00,pls tell me why i got 2 things of hashbrowns instead of a bagel with cc and why ur frozen ice coffee tastes like COUGH SYRUP,complaint,0.4815,Negative,0.9968,705559d418ce75353c7386911afeef6b,ingest,local,,,,,MISC:CO
563,2026-09-22T09:42:06+00:00,"Hi, we are following up on your request under ticket no. 1-DAPT4JV. We will advise once done within [DATE]. ^NO",complaint,0.3618,Neutral,0.9981,c66b42fcd7e375b493d04b7df19b06ff,ingest,local,,,,,
562,2026-09-22T09:42:06+00:00,Last leg. [LOCATION] - #Göteborg 🇸🇪 [URL],delivery and shipping,0.273,Neutral,0.8037,ec792ecea67373ef97c738446c4c40b3,ingest,local,,,,,LOC:London; LOC:Göteborg
561,2026-09-22T09:42:06+00:00,[REDACTED] has provided poor [REDACTED] or completely failed to provide svc [DATE] since they installed their new system. Won't issue credit,complaint,0.6711,Negative,0.9899,128857185552937c4585c066474718d4,ingest,local,,,,,ORG:##NI
560,2026-09-22T09:42:06+00:00,@[REDACTED] Hello [NAME] as agreed we will give you [URL]sue has been raised on ticket number:1-CQB7C1I for follow up.^TM,complaint,0.695,Neutral,0.9983,dda3dd68bdae57a6f55a9411390cbecc,ingest,local,,,,,ORG:Wang
559,2026-09-22T09:42:06+00:00,Distance makes the heart grow fonder when you're on #TigoNightFix Stay connected with loved ones from [DATE]. Dial *500*4# to subscribe [URL],product question,0.3782,Neutral,0.9936,e09a1c2be1346b25977ecaf2f2047d0c,ingest,local,,,,,
558,2026-09-22T09:42:06+00:00,"ordered my first box [DATE], still hasn't arrived :(",complaint,0.5214,Neutral,0.5109,e340eb4d8834bbf44a292fc0e7b30ad8,ingest,local,,,,,
557,2026-09-22T09:42:06+00:00,@[REDACTED] i have been to apple about this and it is [NAME],product question,0.2938,Neutral,0.9889,b6cf17d2e8fd4feb769b19eded9cb00e,ingest,local,,,,,
556,2026-09-22T09:42:06+00:00,Thank you for following up! We can see you've been able to connect with a member of our team within in-app support.,praise and positive feedback,0.9198,Positive,0.9956,ac5b39b0836a705b46da613f1fac47a3,ingest,local,,,,,
555,2026-09-22T09:42:06+00:00,ok let me engage him,praise and positive feedback,0.273,Neutral,0.9696,a70314384ddc19dea64e79044867fff3,ingest,local,,,,,
