set,row_id,engine_label,text,predicted_text,gold_topic,pred_topic,topic_correct,gold_sentiment,pred_sentiment,sentiment_correct,pred_sentiment_score,gold_entities,pred_entities,engine,provider,model,latency_ms,cost_usd
reference_set3,200,BERT,Sure. I have forwarded the details to the appropriate team to take immediate action on this. ^NK,Sure. I have forwarded the details to the appropriate team to take immediate action on this. ^NK,complaint,complaint,1,neutral,neutral,1,0.9894,[],[],local,,,,
reference_set3,199,BERT,Any updates? [ID],Any updates? VT-[PHONE],complaint,product question,0,neutral,neutral,1,0.9823,[],[],local,,,,
reference_set3,198,BERT,"Hi, am still unable to login. Showing Bad Request. How long it will take.","Hi, am still unable to login. Showing Bad Request. How long it will take.",account management,complaint,0,negative,negative,1,0.8982,[],[],local,,,,
reference_set3,197,BERT,what's your website,what's your website,product question,product question,1,neutral,neutral,1,0.9964,[],[],local,,,,
reference_set3,196,BERT,Almost calls 📞 are dropped  what an idea sir ji  ???,Almost calls 📞 are dropped  what an idea sir [NAME]???,technical issue,cancellation,0,negative,negative,1,0.9762,"[{""type"": ""ORG"", ""text"": ""idea""}]",[],local,,,,
reference_set3,195,BERT,@115940 @hulu_support @47977 Who was the genius behind the update? Can I please go back to the old interface?,@[REDACTED] @hulu_support @47977 Who was the genius behind the update? Can I please go back to the old interface?,complaint,complaint,1,negative,negative,1,0.9939,[],[],local,,,,
reference_set3,194,BERT,- hi there - is there any way of booking multiple rooms? I fear we might not get the second if I just try and repeat in app?,- hi there - is there any way of booking multiple rooms? I fear we might not get the second if I just try and repeat in app?,product question,product question,1,neutral,neutral,1,0.9979,[],[],local,,,,
reference_set3,193,BERT,@115830 357th day requesting any kind of response,@[REDACTED] 357th day requesting any kind of response,complaint,complaint,1,negative,neutral,0,0.9931,[],[],local,,,,
reference_set3,192,BERT,Hi [NAME]! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Song Link. We'll check it out /AK,Hi [NAME]! Can you send us the Song Link? Just tap the three dots &gt; [REDACTED]; [NAME]. We'll check it out [ID],technical issue,praise and positive feedback,0,neutral,neutral,1,0.9957,"[{""type"": ""PER"", ""text"": ""Mike""}, {""type"": ""MISC"", ""text"": ""Song Link""}, {""type"": ""MISC"", ""text"": ""Song Link""}]","[{""type"": ""PER"", ""text"": ""Mike""}, {""type"": ""MISC"", ""text"": ""Link""}, {""type"": ""MISC"", ""text"": ""Link""}]",local,,,,
reference_set3,191,BERT,"terrible service, they took my money for a already booked room and won't give it back never booking @148884 again!!!","terrible service, they took my money for a already booked room and won't give it back never booking @[REDACTED] again!!!",billing and payments,complaint,0,negative,negative,1,0.992,[],[],local,,,,
