conversation_id,speaker,text,company
87ec474d85531392d2b2d10721e09e39,customer,KTAR.com - Foreclosures still big problem in Valley: http://www.ktar.com/?nid=6&sid=1263891 via @41702,Ask_WellsFargo
87ec474d85531392d2b2d10721e09e39,customer,@41702 Wells Fargo customer care is customer crime! Disposing fragile elderly people like us due to Fake Modification,Ask_WellsFargo
87ec474d85531392d2b2d10721e09e39,agent,"I'm sorry you feel this way about us, Nadia. Pls send your phone # in a DM (no acct #). I'll connect you w/ a specialist. ^CC",Ask_WellsFargo
d3e05396cf9c037c671a5bd0c7afeab2,customer,Do you know if Carl's Jr serves lunch all day? Or after 1030?,CarlsJr
d3e05396cf9c037c671a5bd0c7afeab2,agent,We serve lunch all day!,CarlsJr
d3e05396cf9c037c671a5bd0c7afeab2,customer,"@665443 Ok, it’s 9:55 AM and I’m heading there, now. Free wi-fi for those that still need to contact loved ones ..",CarlsJr
2e9690b9d2047163fef9f29560eb75eb,customer,"I really need @VirginAmerica or @JetBlue to have a sale so I can book my airfare to LA. Hint, hint :)",JetBlue
2e9690b9d2047163fef9f29560eb75eb,agent,Check our best deals at http://bit.ly/jbdeals and sign up for fare alerts: http://bit.ly/JBFareAlerts,JetBlue
2e9690b9d2047163fef9f29560eb75eb,customer,@747941 How do you sign up.  It won’t let me link it,JetBlue
2e9690b9d2047163fef9f29560eb75eb,agent,Hey Tina! Sign up for what?,JetBlue
85616a77629e2b186287530190875d9f,customer,#Austin area customers... Services seem to be slowly returning. Techs still working to restore service. ^PS,Ask_Spectrum
85616a77629e2b186287530190875d9f,customer,"Way to go, Spectrum. Not since AT&amp;T have we unejoyed ultra-worse internet service. https://t.co/yl5YiP0xAy",Ask_Spectrum
85616a77629e2b186287530190875d9f,agent,If there is something specific I can assist you with please feel free to send me your phone or account number in ... https://t.co/8fSSUvFRDZ,Ask_Spectrum
8f27d7669a0b25a4b422ccc6257c192b,customer,Email id of TRAI Public Grievance Cell 4any #MNP complaint __email__ __email__ __email__ #india http://bit.ly/dEJk7K,idea_cares
8f27d7669a0b25a4b422ccc6257c192b,customer,I have recently done mnp to jio but m facing issue with netwrk and internet into my area i wish to port back to my previous operator. SR00000EMJ7D is my complaint id.,idea_cares
8f27d7669a0b25a4b422ccc6257c192b,customer,Sincere apologies for the delay. We are working on this SR number: SR00000EMJ7D on priority. We will(1/2),idea_cares
8f27d7669a0b25a4b422ccc6257c192b,customer,M not satisfied with the services of yours nd want to get back to my previous netwrk i.e Idea Seek resolution @120602 @idea_cares @116590,idea_cares
8f27d7669a0b25a4b422ccc6257c192b,agent,"We would love to have you in Idea family. DM us your contact,pinocde details so we will get in touch with you. Rgds,Pradnya https://t.co/LBfZgLCSfr",idea_cares
4e0e208c5082319d1a5833b02ac98a63,agent,Lost property on TfL network reaches record numbers http://tinyurl.com/3k5p72g #lostpropertyoffice,TfL
4e0e208c5082319d1a5833b02ac98a63,customer,Lost a Vivienne Westwood shopping bag today at 3pm in black cab. It was a birthday present please help!!!! #lostpropertyoffice,TfL
4e0e208c5082319d1a5833b02ac98a63,customer,@TfL @TfL Lost a round black DJ headphone case containing headphones &amp;2 keys usb tonight at 4am in black cab. Please help!!!! #lostpropertyoffice,TfL
4e0e208c5082319d1a5833b02ac98a63,agent,Please log this with our Lost Property team here https://t.co/cj7tToKBfg You'll be contacted if handed in. Hope it gets found.,TfL
c2f53c1a1602652671754bcc3afcb737,customer,Do you have a number to call you and check the flight status?,AmericanAir
c2f53c1a1602652671754bcc3afcb737,agent,"Text ""FLYAA"" (35922) with your flight number to get instant flight info!",AmericanAir
c2f53c1a1602652671754bcc3afcb737,customer,@28752 Status of today’s Flight #5164??,AmericanAir
c2f53c1a1602652671754bcc3afcb737,agent,We're showing AA5164 from Charlotte to Birmingham is on time this afternoon. Please sign up for any updates: https://t.co/h88H9iXqqT.,AmericanAir
c507905e09cc95a492aa7bf52ea2d532,customer,Please find assistance from the official Safaricom customer care twitter account @Safaricom_Care,Safaricom_Care
c507905e09cc95a492aa7bf52ea2d532,customer,"@Safaricom_Care hi,my name is Anthony mungai 0705254974,my Mpesa is not working please help.",Safaricom_Care
c507905e09cc95a492aa7bf52ea2d532,agent,"Hi Anthony, our apologies for the delayed response. Kindly clarify on the challenge for assistance. ^AO",Safaricom_Care
288d4df07c370b5764d6688d82796296,customer,"Si quieres cambiar cualquier detalle de tu pedido, puedes hacerlo desde ""Mi cuenta"" y ya entrar en pedidos, pagos, etc.",AmazonHelp
288d4df07c370b5764d6688d82796296,customer,"Como se puede solicitar que no me haga entregas, tourline simpre que me envian algo con ellos tengo problemas, no llega a tiempo y mienten diciendo que no habia nadie en el domicilio, cuando es mentira.",AmazonHelp
