id,created_at,anonymized_text,topic,topic_score,sentiment,sentiment_score,conversation_id,source,engine,provider,model,latency_ms,cost_usd,entities
600,2026-09-22T11:40:27+00:00,Sure. I have forwarded the details to the appropriate team to take immediate action on this. ^NK,praise and positive feedback,0.3,positive,0.75,,ingest,llm,anthropic,claude-haiku-4-5,1399,0.002783,
599,2026-09-22T11:40:27+00:00,Any updates? <PHONE_NUMBER_1>,account management,0.3,neutral,0.8,,ingest,llm,anthropic,claude-haiku-4-5,1887,0.002987,
598,2026-09-22T11:40:27+00:00,"Hi, am still unable to login. Showing Bad Request. How long it will take.",technical issue,0.95,negative,0.85,,ingest,llm,anthropic,claude-haiku-4-5,1832,0.0031609999999999997,
597,2026-09-22T11:40:27+00:00,what's your website,product question,0.1,neutral,0.9,,ingest,llm,anthropic,claude-haiku-4-5,1813,0.003076,
596,2026-09-22T11:40:27+00:00,Almost calls 📞 are dropped  what an idea sir <PERSON_1>???,complaint,0.92,negative,0.95,,ingest,llm,anthropic,claude-haiku-4-5,1720,0.003014,PER:[NAME]
595,2026-09-22T11:40:27+00:00,@[REDACTED] @hulu_support @47977 Who was the genius behind the update? Can I please go back to the old interface?,complaint,0.8,negative,0.85,,ingest,llm,anthropic,claude-haiku-4-5,1769,0.003095,ORG:hulu_support; MISC:47977
594,2026-09-22T11:40:27+00:00,- hi there - is there any way of booking multiple rooms? I fear we might not get the second if I just try and repeat in app?,product question,0.85,neutral,0.65,,ingest,llm,anthropic,claude-haiku-4-5,1965,0.003407,MISC:multiple rooms
593,2026-09-22T11:40:27+00:00,@[REDACTED] 357th day requesting any kind of response,complaint,0.9,negative,0.95,,ingest,llm,anthropic,claude-haiku-4-5,1492,0.0028320000000000003,
592,2026-09-22T11:40:27+00:00,Hi <PERSON_1>! Can you send us the Song Link? Just tap the three dots > <PERSON_2>; <PERSON_1>. We'll check it out <ID_NUMBER_1>,product question,0.6,neutral,0.8,,ingest,llm,anthropic,claude-haiku-4-5,2151,0.003549,MISC:Song Link
591,2026-09-22T11:40:27+00:00,"terrible service, they took my money for a already booked room and won't give it back never booking <ORGANIZATION_1> again!!!",billing and payments,0.95,negative,0.98,,ingest,llm,anthropic,claude-haiku-4-5,2169,0.0035959999999999994,MISC:terrible
590,2026-09-22T11:40:27+00:00,"Hi again [REDACTED] dazu haben, [REDACTED] [NAME] an. [NAME]. ^AS",billing and payments,0.1,neutral,0.5,,ingest,llm,anthropic,claude-haiku-4-5,2591,0.002898,
589,2026-09-22T11:40:27+00:00,"It's cancelled now, but I am very unhappy with the agent. Scaring me into waiting because I'll ""pay a fee"" (but it's more expensive to wait)",cancellation,0.9,negative,0.95,,ingest,llm,anthropic,claude-haiku-4-5,1740,0.002965,
588,2026-09-22T11:40:27+00:00,@[REDACTED] @[REDACTED] So I have a generator to send and weights 157lbs only 7 LBS over your limit can I send so I can help my people in <LOCATION_1> #PRinhelp,delivery and shipping,0.8,positive,0.75,,ingest,llm,anthropic,claude-haiku-4-5,2533,0.0041,MISC:157lbs; MISC:7 LBS; MISC:PRinhelp
587,2026-09-22T11:40:27+00:00,@[REDACTED] Devious ways of #paypal. When agents have been instructed to not to help customers. See snapshots. [URL],complaint,0.95,negative,0.95,,ingest,llm,anthropic,claude-haiku-4-5,2037,0.003211,ORG:paypal; MISC:[REDACTED]
