id,created_at,anonymized_text,topic,topic_score,sentiment,sentiment_score,conversation_id,source,engine,provider,model,latency_ms,cost_usd,entities
800,2026-09-22T10:19:08+00:00,Sure. I have forwarded the details to the appropriate team to take immediate action on this. ^NK,account management,0.25,positive,0.74,,ingest,llm,openai,gpt-5.4-nano,1446,0.0003078,
799,2026-09-22T10:19:08+00:00,Any updates? VT-[PHONE],account management,0.65,neutral,0.55,,ingest,llm,openai,gpt-5.4-nano,1313,0.00031249999999999995,MISC:VT-[PHONE]
798,2026-09-22T10:19:08+00:00,"Hi, am still unable to login. Showing Bad Request. How long it will take.",technical issue,0.86,negative,0.78,,ingest,llm,openai,gpt-5.4-nano,1774,0.00032470000000000003,MISC:Hi
797,2026-09-22T10:19:08+00:00,what's your website,product question,0.63,neutral,0.74,,ingest,llm,openai,gpt-5.4-nano,1303,0.00028460000000000003,
796,2026-09-22T10:19:08+00:00,Almost calls 📞 are dropped  what an idea sir [NAME]???,technical issue,0.78,negative,0.72,,ingest,llm,openai,gpt-5.4-nano,1549,0.00034285,MISC:Almost calls; PER:[NAME]
795,2026-09-22T10:19:08+00:00,@[REDACTED] @hulu_support @47977 Who was the genius behind the update? Can I please go back to the old interface?,complaint,0.7,negative,0.78,,ingest,llm,openai,gpt-5.4-nano,1678,0.00039230000000000005,MISC:@[REDACTED]; ORG:@hulu_support; MISC:@47977
794,2026-09-22T10:19:08+00:00,- hi there - is there any way of booking multiple rooms? I fear we might not get the second if I just try and repeat in app?,product question,0.55,neutral,0.58,,ingest,llm,openai,gpt-5.4-nano,1579,0.00034334999999999997,MISC:multiple rooms
793,2026-09-22T10:19:08+00:00,@[REDACTED] 357th day requesting any kind of response,complaint,0.6,neutral,0.5,,ingest,llm,openai,gpt-5.4-nano,1604,0.00034805000000000003,MISC:@[REDACTED]; MISC:357th day
792,2026-09-22T10:19:08+00:00,Hi <PERSON_1>! Can you send us the Song Link? Just tap the three dots > <ID_NUMBER_1>; <PERSON_1>. We'll check it out <ID_NUMBER_2>,product question,0.65,neutral,0.45,,ingest,llm,openai,gpt-5.4-nano,2805,0.0005283,MISC:[NAME]; MISC:[REDACTED]; MISC:[NAME]; MISC:[ID]
791,2026-09-22T10:19:08+00:00,"terrible service, they took my money for a already booked room and won't give it back never booking @[REDACTED] again!!!",complaint,0.95,negative,0.93,,ingest,llm,openai,gpt-5.4-nano,1710,0.0003417,MISC:terrible service
790,2026-09-22T10:19:08+00:00,"Hi again [REDACTED] dazu haben, [REDACTED] [NAME] an. [NAME]. ^AS",billing and payments,0.0,neutral,0.34,,ingest,llm,openai,gpt-5.4-nano,1381,0.00031795,
789,2026-09-22T10:19:08+00:00,"It's cancelled now, but I am very unhappy with the agent. Scaring me into waiting because I'll ""pay a fee"" (but it's more expensive to wait)",billing and payments,0.88,negative,0.86,,ingest,llm,openai,gpt-5.4-nano,1447,0.00032645,
788,2026-09-22T10:19:08+00:00,@[REDACTED] @[REDACTED] So I have a generator to send and weights 157lbs only 7 LBS over your limit can I send so I can help my people in [LOCATION] #PRinhelp,delivery and shipping,0.76,neutral,0.38,,ingest,llm,openai,gpt-5.4-nano,1524,0.00037109999999999997,LOC:[LOCATION]
787,2026-09-22T10:19:08+00:00,<PERSON_1> Devious ways of #paypal. When agents have been instructed to not to help customers. See snapshots. [URL],complaint,0.82,negative,0.86,,ingest,llm,openai,gpt-5.4-nano,3563,0.00043460000000000005,MISC:Devious ways of #paypal; ORG:#paypal; MISC:See snapshots; MISC:[URL]
786,2026-09-22T10:19:08+00:00,Hello Do you know you can stop your screen from rotating by simply tapping the rotation lock in the notification shade? Thank you for (1/2),product question,0.65,positive,0.78,,ingest,llm,openai,gpt-5.4-nano,1637,0.0003421,MISC:Hello
785,2026-09-22T10:19:08+00:00,The movie will be billed and then credited to the account. [ID],billing and payments,0.9,neutral,0.72,,ingest,llm,openai,gpt-5.4-nano,1463,0.00032285,MISC:[ID]
784,2026-09-22T10:19:08+00:00,<PERSON_1> since when,account management,0.52,neutral,0.34,,ingest,llm,openai,gpt-5.4-nano,1507,0.00031229999999999995,
783,2026-09-22T10:19:08+00:00,[REDACTED]? ^DW,technical issue,0.2,neutral,0.4,,ingest,llm,openai,gpt-5.4-nano,1409,0.0002904,
782,2026-09-22T10:19:08+00:00,@[REDACTED] @TMobileHelp @[REDACTED] @[REDACTED] sure...if I can. Data is barely working.,technical issue,0.9,negative,0.78,,ingest,llm,openai,gpt-5.4-nano,1865,0.00042395,MISC:@[REDACTED]; ORG:@TMobileHelp; MISC:@[REDACTED]; MISC:@[REDACTED]
781,2026-09-22T10:19:08+00:00,@[REDACTED] talking to paypal not you. just commenting to show that your experience with [NAME] isn't universal,billing and payments,0.7,neutral,0.62,,ingest,llm,openai,gpt-5.4-nano,2097,0.00038005000000000005,MISC:@[REDACTED]; ORG:paypal; MISC:[NAME]
