id,created_at,anonymized_text,topic,topic_score,sentiment,sentiment_score,conversation_id,source,engine,provider,model,latency_ms,cost_usd,entities
1200,2026-09-22T11:56:27+00:00,Sure. I have forwarded the details to the appropriate team to take immediate action on this. ^<PERSON_1>,complaint,0.35,positive,0.75,,ingest,llm,google,gemini-3.8-flash,7419,0.001608,PER:NK
1199,2026-09-22T11:56:27+00:00,Any updates? <ID_NUMBER_1>,technical issue,0.35,neutral,0.85,,ingest,llm,google,gemini-3.8-flash,3310,0.001572,MISC:VT-[PHONE]
1198,2026-09-22T11:56:27+00:00,"Hi, am still unable to login. Showing Bad Request. How long it will take.",technical issue,0.95,negative,0.88,,ingest,llm,google,gemini-3.8-flash,3579,0.00081525,
1197,2026-09-22T11:56:27+00:00,what's your website,product question,0.65,neutral,0.95,,ingest,llm,google,gemini-3.8-flash,2650,0.00126675,
1196,2026-09-22T11:56:27+00:00,Almost calls 📞 are dropped  what an idea sir <PERSON_1>???,complaint,0.95,negative,0.96,,ingest,llm,google,gemini-3.8-flash,5619,0.0015855,PER:[NAME]
1195,2026-09-22T11:56:27+00:00,@[REDACTED] @<ORGANIZATION_1> @<ID_NUMBER_1> Who was the genius behind the update? Can I please go back to the old interface?,complaint,0.92,negative,0.96,,ingest,llm,google,gemini-3.8-flash,6485,0.00114225,ORG:hulu_support
1194,2026-09-22T11:56:27+00:00,- hi there - is there any way of booking multiple rooms? I fear we might not get the second if I just try and repeat in app?,product question,0.92,neutral,0.85,,ingest,llm,google,gemini-3.8-flash,3363,0.0008730000000000001,
1193,2026-09-22T11:56:27+00:00,@[REDACTED] 357th day requesting any kind of response,complaint,0.95,negative,0.96,,ingest,llm,google,gemini-3.8-flash,2612,0.0008025,
1192,2026-09-22T11:56:27+00:00,Hi [NAME]! Can you send us the Song Link? Just tap the three dots &gt; [REDACTED]; [NAME]. We'll check it out [ID],technical issue,0.75,neutral,0.85,,ingest,llm,google,gemini-3.8-flash,6098,0.0014115,
1191,2026-09-22T11:56:27+00:00,"terrible service, they took my money for a already booked room and won't give it back never booking @[REDACTED] again!!!",complaint,0.98,negative,0.99,,ingest,llm,google,gemini-3.8-flash,3974,0.0008655000000000001,
1190,2026-09-22T11:56:27+00:00,"Hi again [REDACTED] dazu haben, [REDACTED] [NAME] an. [NAME]. ^AS",product question,0.25,neutral,0.88,,ingest,llm,google,gemini-3.8-flash,5977,0.0013455,
1189,2026-09-22T11:56:27+00:00,"It's cancelled now, but I am very unhappy with the agent. Scaring me into waiting because I'll ""pay a fee"" (but it's more expensive to wait)",complaint,0.95,negative,0.96,,ingest,llm,google,gemini-3.8-flash,3711,0.001416,
1188,2026-09-22T11:56:27+00:00,@[REDACTED] @[REDACTED] So I have a generator to send and weights 157lbs only 7 LBS over your limit can I send so I can help my people in [LOCATION] #PRinhelp,delivery and shipping,0.96,neutral,0.88,,ingest,llm,google,gemini-3.8-flash,3831,0.001023,LOC:[LOCATION]
1187,2026-09-22T11:56:27+00:00,@[REDACTED] Devious ways of #<ORGANIZATION_1>. When agents have been instructed to not to help customers. See snapshots. [URL],complaint,0.96,negative,0.98,,ingest,llm,google,gemini-3.8-flash,2909,0.0016560000000000001,ORG:paypal
1186,2026-09-22T11:56:27+00:00,Hello Do you know you can stop your screen from rotating by simply tapping the rotation lock in the notification shade? Thank you for (1/2),product question,0.8,neutral,0.75,,ingest,llm,google,gemini-3.8-flash,3523,0.0013717500000000001,
1185,2026-09-22T11:56:27+00:00,The movie will be billed and then credited to the account. [ID],billing and payments,0.95,neutral,0.92,,ingest,llm,google,gemini-3.8-flash,2841,0.0008055,
1184,2026-09-22T11:56:27+00:00,[NAME] since when,product question,0.4,neutral,0.75,,ingest,llm,google,gemini-3.8-flash,3151,0.0012629999999999998,
1183,2026-09-22T11:56:27+00:00,[REDACTED]? ^DW,product question,0.2,neutral,0.85,,ingest,llm,google,gemini-3.8-flash,6596,0.0012644999999999998,
1182,2026-09-22T11:56:27+00:00,@[REDACTED] @<ORGANIZATION_1> @[REDACTED] @[REDACTED] sure...if I can. Data is barely working.,technical issue,0.95,negative,0.94,,ingest,llm,google,gemini-3.8-flash,3992,0.0012195,ORG:TMobileHelp
1181,2026-09-22T11:56:27+00:00,@[REDACTED] talking to <ORGANIZATION_1> not you. just commenting to show that your experience with [NAME] isn't universal,billing and payments,0.35,neutral,0.72,,ingest,llm,google,gemini-3.8-flash,3830,0.00164625,ORG:paypal
1180,2026-09-22T11:56:27+00:00,I've been on hold for <DATE_TIME_1> on the skymiles 800 number line. I am now remebering why i quit flying <ORGANIZATION_1> <DATE_TIME_1>!,complaint,0.96,negative,0.98,,ingest,llm,google,gemini-3.8-flash,9544,0.0019927499999999997,MISC:skymiles; ORG:@delta
1179,2026-09-22T11:56:27+00:00,I left a message for you <DATE_TIME_1> with additional information. Please let me know if you need anything further. <PERSON_1>,account management,0.3,neutral,0.92,,ingest,llm,google,gemini-3.8-flash,5029,0.00108,PER:[NAME]
1178,2026-09-22T11:56:27+00:00,I haven't - I've been having problems doing it on the web player,technical issue,0.95,negative,0.85,,ingest,llm,google,gemini-3.8-flash,3115,0.00080325,
1177,2026-09-22T11:56:27+00:00,"Great question, [NAME]! DM us so we can talk more about your options! *<PERSON_1>",product question,0.85,positive,0.92,,ingest,llm,google,gemini-3.8-flash,2831,0.0009682500000000001,PER:MelindaR
1176,2026-09-22T11:56:27+00:00,Still waiting for an explanation as to why my account was closed!,complaint,0.95,negative,0.95,,ingest,llm,google,gemini-3.8-flash,2466,0.0012877499999999998,
1175,2026-09-22T11:56:27+00:00,[LOCATION] Uninstalled [DATE]. Disabling all Lyft notifications to turn off intrusive ads (including pickup status) throws the baby out with the bathwater. This is a dealbreaker. [REDACTED]. (android),complaint,0.96,negative,0.98,,ingest,llm,google,gemini-3.8-flash,5930,0.0010612500000000001,ORG:Lyft; MISC:android
1174,2026-09-22T11:56:27+00:00,A digital wallet is a third-party payment application that allows clients to make purchases without their physical card.^kb,billing and payments,0.88,neutral,0.98,,ingest,llm,google,gemini-3.8-flash,3370,0.0013469999999999999,
1173,2026-09-22T11:56:27+00:00,"Hi [NAME], we're following you now if you need to DM us. Let us know more about your query. ^L",product question,0.25,neutral,0.92,,ingest,llm,google,gemini-3.8-flash,5195,0.0013620000000000001,
1172,2026-09-22T11:56:27+00:00,they don't tell you about the surge cost though I paid £18.67 to travel 3 miles !! #ripoff,complaint,0.96,negative,0.98,,ingest,llm,google,gemini-3.8-flash,4280,0.0013747499999999999,
1171,2026-09-22T11:56:27+00:00,"@[REDACTED] Hi [NAME], are you booking via our website or @[REDACTED] ? ^HP",product question,0.8,neutral,0.95,,ingest,llm,google,gemini-3.8-flash,4532,0.0013530000000000003,
1170,2026-09-22T11:56:27+00:00,Sorry to hear that. Could you send us a direct message to collect a few information and help you with that? -<PERSON_1>,complaint,0.45,neutral,0.85,,ingest,llm,google,gemini-3.8-flash,3644,0.00098625,PER:Dinesh
1169,2026-09-22T11:56:27+00:00,"@[REDACTED] lack of transmitter network in [LOCATION] ,[LOCATION] ,[NAME]  division [ID]  location ...",technical issue,0.95,negative,0.92,,ingest,llm,google,gemini-3.8-flash,4960,0.00085575,
1168,2026-09-22T11:56:27+00:00,"Hello @[REDACTED], apologies on your experience. Kindly provide your mobile number via DM for checks and assistance. Thank you. ^<PERSON_1>",complaint,0.75,neutral,0.88,,ingest,llm,google,gemini-3.8-flash,3908,0.0009885,PER:CIA
1167,2026-09-22T11:56:27+00:00,"@[REDACTED] How come they are no points given on my new purchase of flight , i only see points frm previous balance, isnt it auto update, Pls advise, TQ",complaint,0.75,negative,0.72,,ingest,llm,google,gemini-3.8-flash,3522,0.00141525,
1166,2026-09-22T11:56:27+00:00,"[NAME],  let us know if you still need help. Please provide the previously requested info only. Kind Regards, <PERSON_1> [URL]",technical issue,0.35,neutral,0.95,,ingest,llm,google,gemini-3.8-flash,3626,0.00099975,PER:^SJ
1165,2026-09-22T11:56:27+00:00,Can I know how to claim back the Big Points?,account management,0.68,neutral,0.92,,ingest,llm,google,gemini-3.8-flash,3603,0.00085125,MISC:Big Points
1164,2026-09-22T11:56:27+00:00,pls tell me why i got 2 things of hashbrowns instead of a bagel with cc and why ur frozen ice coffee tastes like COUGH SYRUP,complaint,0.97,negative,0.98,,ingest,llm,google,gemini-3.8-flash,2814,0.00087,
1163,2026-09-22T11:56:27+00:00,"Hi, we are following up on your request under ticket no. <ID_NUMBER_1>. We will advise once done within [DATE]. ^NO",technical issue,0.35,neutral,0.92,,ingest,llm,google,gemini-3.8-flash,5540,0.00104325,MISC:1-DAPT4JV
